id,ticket_id,body,created_at,user_id
13,2,"I followed your advice and checked the volume mounts. Everything looks correct! After applying the changes and restarting the pods, I was able to establish the SSL connection successfully. ",2024-06-26 22:39:03.915628+00,1
14,2,"That's fantastic news! I'm glad to hear that the SSL connection is now working correctly. If you have any further questions or need assistance in the future, please don't hesitate to reach out. Have a great day!",2024-06-26 23:23:03.915628+00,7955
15,3,"Hello,

Users with viewer role cannot access the promotions table despite having permissions configured:

```json
{
  ""role"": ""viewer"",
  ""table"": ""promotions"",
  ""select"": {
    ""columns"": ""*"",
    ""filter"": {
      ""organization_id"": ""X-Hasura-Org-Id""
    }
  }
}
```

Error:
```
null value violation for role viewer
```

What's missing in our permission config?",2024-10-16 10:03:16.903629+00,1
16,3,"Hello! Thank you for reaching out regarding the permission issue with the viewer role on the promotions table. Based on the error message, it seems that the permission configuration may not be correctly applied. Could you please confirm if the viewer role is properly assigned to the users in question and if they have been granted access to the promotions table in the database?",2024-10-16 11:37:16.903629+00,8315
17,3,"Hi, thanks for the quick response! The viewer role is indeed assigned to the users, and I've checked that the permissions should be applied to the promotions table. I’ve also verified that the organization_id is correctly set for those users. Is there anything else that could cause this issue?",2024-10-16 13:34:16.903629+00,1
18,3,"Thank you for the clarification! One possible reason for the ""null value violation"" error could be that the filtering condition uses the variable ""X-Hasura-Org-Id,"" which should be replaced with a valid organization ID. Can you confirm if the users have this header set in their requests? ",2024-10-16 14:16:16.903629+00,8315
19,3,"Yes, the users are sending requests with the appropriate ""X-Hasura-Org-Id"" header. I also checked the logs, and it appears that the header is being sent correctly. Could there be another reason for the permission denial?",2024-10-16 15:48:16.903629+00,1
20,3,"I appreciate your detailed response! Another aspect to check is whether the user roles are correctly defined in the Hasura metadata. Ensure that the permissions for the viewer role are indeed set to access the promotions table. If everything seems correct, please provide me with the current metadata configuration for the viewer role, and I can help investigate further.",2024-10-16 16:58:16.903629+00,8315
21,4,"Hello team,

Remote schema stitching is failing for our remote joins integration:

Schema config:
```yaml
remote_schemas:
  - name: remote_remote joins
    definition:
      url: https://remote.australia-southeast1/graphql
      timeout: 60 seconds
      forward_headers: true
```

Error:
```
inconsistent state during schema stitching
Conflicting types detected
```

How can we resolve these schema conflicts?",2024-05-24 10:12:03.810155+00,1
22,4,"Hello! Thank you for reaching out regarding the remote schema stitching issue. The error message you are encountering, ""inconsistent state during schema stitching"" and ""Conflicting types detected,"" usually indicates that there are overlapping type definitions between your local schema and the remote schema you are trying to stitch. To assist you better, could you provide the specific types that are conflicting? ",2024-05-24 11:44:03.810155+00,7774
23,4,"Thank you for the prompt response! I will check the types in our local schema and the remote schema. However, we have multiple types that might overlap. Is there a way to identify which specific types are causing the conflict?",2024-05-24 13:42:03.810155+00,1
49,8,"Hi! Thanks for getting back to me. Yes, we have SSL certificates in place, and they seem to be configured correctly. However, we’re still encountering the SSL/TLS error when trying to resolve the relationships. Is there anything else that might be causing this issue?",2024-07-27 22:28:31.145961+00,2
24,4,"Absolutely! You can use the GraphQL introspection feature to get a detailed schema of your remote service. By running a query for the `__schema` field, you’ll be able to see all the types defined in the remote schema. Once you have that, compare it with your local schema definitions to pinpoint the conflicting types. If you can share those results, I'd be happy to help you further.",2024-05-24 14:59:03.810155+00,7774
25,4,"I ran the introspection query and found a few types that seem to overlap. The types are `User`, `Post`, and `Comment`. They have different fields, but the names are the same. What do you suggest we do about this?",2024-05-24 16:12:03.810155+00,1
26,4,"Thanks for sharing those details! Since you have naming conflicts, one approach is to alias the types in your local schema or the remote schema. You can use the `type` and `extend type` keywords to rename the conflicting types. Alternatively, if the fields differ significantly and you want to keep both, you could also create a new type in your schema that wraps the remote type. Would you like guidance on how to implement this?",2024-05-24 17:58:03.810155+00,7774
27,4,"Yes, guidance would be great! It sounds a bit complex, and I'd appreciate step-by-step instructions on how to alias the types in our schema.",2024-05-24 18:43:03.810155+00,1
28,4,Of course! Here’s a simplified approach:,2024-05-24 20:25:03.810155+00,7774
29,4,Thank you so much for the detailed instructions! I will implement these changes and run some tests. I appreciate your help in resolving this issue.,2024-05-24 21:10:03.810155+00,1
30,4,"You’re welcome! I'm glad I could assist. If you encounter any further issues or have additional questions during your testing, please don’t hesitate to reach out. Good luck, and I look forward to hearing from you soon!",2024-05-24 22:47:03.810155+00,7774
31,4,"I implemented the changes, and everything is working perfectly now! Thank you for your support and guidance throughout this process.",2024-05-24 23:12:03.810155+00,1
32,5,"Hello,

Our one-to-many relationship between tables is causing high memory usage:

Setup:
- Parent table: permissions (1M rows)
- Child table: permissions (1M rows)
- Request volume: 1M/day

Memory usage spikes when querying:
```graphql
query {
  parent {
    child {
      grandchild {
        # deep nesting
      }
    }
  }
}
```

How can we optimize this relationship query?",2024-05-19 09:56:56.474629+00,1
33,5,"Hello! Thank you for reaching out regarding the high memory usage with your one-to-many relationship. It sounds like you have a substantial dataset and a complex query. To help optimize your GraphQL query, I suggest the following approaches: ",2024-05-19 11:47:56.474629+00,8315
34,5,Thank you for the quick response and the suggestions! I like the idea of implementing pagination. Can you provide me with an example of how to set this up in my GraphQL query?,2024-05-19 14:11:56.474629+00,1
35,5,Absolutely! Here's an example of how you can implement pagination in your GraphQL query for your one-to-many relationship:,2024-05-19 17:43:56.474629+00,8315
36,5,Thank you for the detailed example! I’ll implement this and monitor the memory usage. I appreciate your help in resolving this issue.,2024-05-19 21:30:56.474629+00,1
37,6,"Hi team,

Our event trigger for invoices is failing:

Configuration:
```yaml
name: process_invoices_changes
table: invoices
webhook: https://our-service.us-east-1/webhook
retry_conf:
  num_retries: 3
  interval_sec: 10
```

Error:
```
expired JWT token when processing event
Request volume: 10M/day
Failed after: 2 minutes
```

How can we make our event triggers more reliable?",2024-10-13 17:20:57.819561+00,1
38,6,"Hello! Thank you for reaching out regarding the issue with the event trigger for invoices. It looks like the expired JWT token is causing the failure when processing events. This typically happens when the token used for authentication has a limited lifespan. To enhance reliability, I recommend checking the expiration time of the JWT token and ensuring that it is refreshed before it expires. Additionally, you might want to implement a mechanism that automatically refreshes the token based on its lifetime.",2024-10-13 20:01:57.819561+00,7774
39,6,"Hi, thanks for the quick response! That makes sense. I will look into refreshing the JWT token more frequently. Is there a specific implementation you would recommend for automating the token refresh process?",2024-10-13 23:36:57.819561+00,1
40,6,"Absolutely! A common approach is to use a refresh token mechanism. You can separate the access token (which has a short lifespan) from a refresh token (which has a longer lifespan). When the access token is about to expire, you can use the refresh token to request a new access token. This way, your event trigger can have a valid token at all times. If you need any further assistance with the implementation, feel free to ask!",2024-10-14 01:04:57.819561+00,7774
41,6,Thank you for the detailed explanation! I appreciate your help. I will implement the refresh token mechanism and let you know if I encounter any further issues.,2024-10-14 02:40:57.819561+00,1
42,7,"Hi team,

Experiencing severe performance issues with nested queries:

Query pattern:
```graphql
query {
  activity_logs(where: {status: {_eq: ""active""}}) {
    id
    related_activity_logs {
      nested_activity_logs {
        deep_activity_logs
      }
    }
  }
}
```

Metrics:
- Response time: 30 seconds
- Data size: 5M rows
- Connection pool: 20

How can we optimize these nested queries?",2024-05-24 08:53:59.492244+00,2
43,7,"Hello! Thank you for reaching out about the performance issues you're experiencing with your nested queries. Given the complexity of the query pattern you're using, there are a few strategies we can employ to optimize performance. ",2024-05-24 11:34:59.492244+00,1754
44,7,Thank you for the suggestions! I appreciate the advice on limiting the depth of queries and indexing. I will implement those changes and see if it improves the response time. Are there any other best practices for optimizing GraphQL queries that you recommend?,2024-05-24 12:28:59.492244+00,2
45,7,"Absolutely! Another common best practice is to use fragments to avoid fetching unnecessary fields, which can help reduce the size of the response. Additionally, consider implementing pagination for large data sets, as this can significantly improve load times by only fetching a subset of the data at once.",2024-05-24 14:02:59.492244+00,1754
46,7,Great tips! I'll definitely look into fragments and pagination. Thank you for your assistance. I’ll follow up if I encounter any more issues after implementing these changes. Have a wonderful day!,2024-05-24 15:47:59.492244+00,2
47,8,"Hello,

We're having issues with relationships in our custom action:

Action type:
```graphql
type ActionResponse {
  id: Int!
  related_organizations: [organizations!]!
}
```

Error:
```
SSL/TLS error when resolving relationship
Table: organizations
Type: object relationship
```

How do we properly set up action relationships?",2024-07-27 19:41:31.145961+00,2
48,8,Hello! Thank you for reaching out. I understand you're experiencing issues with the action relationships in your custom action specifically regarding the `related_organizations` field. This SSL/TLS error typically indicates a problem with the connection or configuration. Let's work together to resolve this. Could you please confirm if you've set up the necessary SSL certificates for your database connections?,2024-07-27 20:54:31.145961+00,8907
50,8,"Thanks for the update! In addition to the SSL certificates, it's important to ensure that the database role used for the connection has the proper permissions to access the `organizations` table. Can you confirm that the role has been granted the necessary privileges for object relationships?",2024-07-28 00:52:31.145961+00,8907
51,8,"I checked the role permissions, and it appears that the role does have the required privileges to access the `organizations` table. I’m still puzzled about the SSL/TLS error. Is there a possibility that there is a configuration issue on our end?",2024-07-28 02:01:31.145961+00,2
52,8,"I appreciate your thoroughness! It's possible that there may be a configuration issue. I recommend checking your connection string to ensure that it explicitly specifies the use of SSL. Additionally, verify that the `require_ssl` parameter is set to true. Once you've made these changes, please try again and let me know if the issue persists.",2024-07-28 02:58:31.145961+00,8907
53,8,"Thank you for the suggestions! I've updated the connection string to include the `require_ssl` parameter, and I'm happy to report that the action relationships are now working properly with the organizations! Thanks for your help!",2024-07-28 03:58:31.145961+00,2
54,9,"Hi Hasura team,

Our cron trigger for updating discounts is failing:

Trigger configuration:
```yaml
name: update_discounts_status
schedule: ""*/15 * * * *""
payload:
  operation: ""bulk_update""
  table: ""discounts""
webhook: https://cron.ap-south-1/update
```

Error:
```
permission denied
Last run: 5 seconds ago
Affected rows: 10K rows
```

How can we make this cron job more reliable?",2024-04-26 19:55:38.742679+00,2
55,9,"Hi there! Thank you for reaching out to us regarding the cron trigger issue. It seems like there might be a permission issue with the webhook you are using for the updates. Can you please check if the user associated with the cron job has the necessary permissions to perform the bulk update on the ""discounts"" table? Additionally, it would be helpful to verify if the webhook URL is accessible and correctly set up to handle the incoming requests.",2024-04-26 23:49:38.742679+00,7913
56,9,"Thanks for the quick response! I've checked the user permissions, and they seem to have the required access to the ""discounts"" table. The webhook URL is also accessible, as I can hit it directly from my browser. Are there any other potential issues that could cause the ""permission denied"" error?",2024-04-27 03:26:38.742679+00,2
57,9,"I appreciate your prompt follow-up! Since the permissions and webhook accessibility seem to be in order, it might be worth looking into the headers being sent with the request to the webhook. Sometimes, authentication tokens or specific headers can be missing or misconfigured. Could you please check the logs on your webhook server to see if there are any additional error messages or details when the cron job triggers? This could give us more insight into the issue.",2024-04-27 04:01:38.742679+00,7913
58,10,"Hello team,

Remote joins are causing performance issues:

Query:
```graphql
query {
  teams {
    local_field
    remote_data {
      nested_field
    }
  }
}
```

Metrics:
- Response time: 10 seconds
- Requests: 1M/day
- Error rate: network unreachable

How can we optimize remote join performance?",2024-10-16 11:58:17.014977+00,2
59,10,"Hello! Thank you for reaching out regarding the performance issues you're experiencing with remote joins in Teams. It sounds like you have a significant number of requests per day, which can impact performance. To start, I recommend looking into optimizing your GraphQL query. You might want to consider the following strategies: ",2024-10-16 12:30:17.014977+00,9554
60,10,"Thank you for the suggestions! I will start by reducing the depth of the remote joins and see if that makes a difference. I've also considered caching, but I need to evaluate how to implement it effectively. I’ll keep you updated on the progress!",2024-10-16 16:07:17.014977+00,2
61,10,"That sounds like a great plan! Please take your time to test these optimizations, and if you run into any challenges or have further questions, don’t hesitate to reach out. Additionally, if you could provide any metrics after implementing these changes, that would help us understand the impact on performance. Looking forward to hearing from you!",2024-10-16 17:01:17.014977+00,9554
62,10,Absolutely! I’ll test these optimizations and share the metrics with you in a few days. Thank you for your assistance!,2024-10-16 18:07:17.014977+00,2
63,11,"Hello,

We're seeing memory spikes during event trigger operations:

Environment:
- Product: Hasura Cloud Standard
- Database: TimescaleDB
- Load: 100/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 5 minutes
- Error rate: Increasing with column access denied

What's the recommended resource configuration for our workload?",2024-07-27 18:44:53.557323+00,2
64,11,"Hello! Thank you for reaching out. I understand that you're experiencing memory spikes during event trigger operations with your Hasura Cloud Standard setup. Given the load of 100 operations per day and the increasing error rate, we definitely want to address this promptly. ",2024-07-27 19:31:53.557323+00,7913
65,13,"Hello Hasura team,

Our deployment to VMware vSphere failed with:

```
unauthorized role during container initialization
```

Environment:
- Product: Hasura Cloud Pro
- Version: v2.20.0
- Region: eu-west-1
- Database: AWS RDS PostgreSQL

Deployment logs:
```
Container failed to start
Health check failed after 30 seconds
Last error: unauthorized role
```

How can we resolve this deployment issue?",2024-09-07 06:11:02.248657+00,2
66,13,"Hello! Thank you for reaching out to us. I'm sorry to hear that you're experiencing deployment issues with your Hasura setup on VMware vSphere. The error message ""unauthorized role during container initialization"" suggests that there may be a permissions issue with the role assigned to your Hasura instance. ",2024-09-07 07:29:02.248657+00,9554
67,14,"Hi,

We're having trouble integrating Cognito with Hasura. Configuration:

```yaml
auth:
  provider: Cognito
  jwt:
    algorithm: HS256
    claims_format: json
```

Error received:
```
constraint violation when validating JWT
```

What's the correct setup for Cognito?",2024-09-05 17:39:26.125799+00,3
68,14,"Hi there! Thank you for reaching out regarding your Cognito integration issue. The error message you’re receiving, ""constraint violation when validating JWT,"" typically indicates that the JWT token is not being validated correctly. ",2024-09-05 18:57:26.125799+00,1454
69,14,"Thank you for the quick response! I changed the algorithm to `RS256` and updated the configuration as you suggested. However, I am still encountering the same error. Could there be other factors involved that I need to check?",2024-09-05 20:47:26.125799+00,3
70,15,"Hello,

Our complex permission policy isn't working:

Policy:
```json
{
  ""role"": ""admin"",
  ""table"": ""pricing_plans"",
  ""select"": {
    ""filter"": {
      ""_or"": [
        {""org_id"": ""X-Hasura-Org-Id""},
        {""public"": {""_eq"": true}},
        {""shared_with"": {""_contains"": ""X-Hasura-User-Id""}}
      ]
    }
  }
}
```

Error: connection timeout

How can we implement this permission structure?",2024-09-17 05:55:28.230236+00,3
156,30,"I made the changes and restarted the PostgreSQL service. I'm happy to report that the SSL connection is now working correctly, and the error has been resolved! Thank you for your assistance!",2024-08-19 23:36:23.981832+00,8
71,15,"Hello! Thank you for reaching out regarding your complex permission policy issue. I understand that you're experiencing a connection timeout error. Let's work together to resolve this. First, could you please confirm if your connection to the database is stable? Additionally, it would be helpful to know if you've made any recent changes to the permission policy or the underlying database that may have contributed to this issue.",2024-09-17 06:14:28.230236+00,9554
72,15,"Hi! Yes, my database connection is stable, and I haven't made any recent changes to the permission policy or the database itself. The policy looked fine to me, and it has worked previously. Could this be related to the complexity of the query?",2024-09-17 07:07:28.230236+00,3
73,15,"Thanks for clarifying. Given the complexity of your permission policy, it is possible that the query is timing out due to inefficient filtering or the size of the dataset being queried. To improve performance, I recommend checking the efficiency of your filters. You might consider indexing the columns used in the filtering criteria. Would you like assistance on how to set up indexing or optimize the query?",2024-09-17 09:06:28.230236+00,9554
74,15,"I've looked into the issue further and have some suggestions to resolve the connection timeout. To optimize your permission policy, try simplifying the query by breaking it down into smaller parts or reducing the dataset size. Additionally, ensure your database's performance is adequate to handle the load. If you're still experiencing issues, please share any error logs or performance metrics that may help us diagnose the problem better.",2024-09-17 10:49:28.230236+00,9554
75,15,"Thank you for your help! I’ll implement the suggested changes and monitor the performance. I appreciate the guidance, and I’ll reach out if I encounter any further issues.",2024-09-17 12:49:28.230236+00,3
76,16,"Hi,

Our computed field is causing performance issues:

Function definition:
```sql
CREATE FUNCTION compute_projects_stats(row projects)
RETURNS jsonb AS $$
  -- Complex calculation involving one-to-one
  -- Current runtime: 2 minutes
$$ LANGUAGE sql STABLE;
```

Scale:
- Table size: 10M rows
- Requests: 100K/day
- Concurrent users: 10

How can we optimize this computed field?",2024-06-29 11:51:59.818451+00,3
77,16,"Hi there! Thank you for reaching out regarding the performance issues with your computed field. Given the complexity of the calculation and the scale of your data, there are several approaches we could consider to optimize performance. Here are a few initial suggestions:",2024-06-29 14:30:59.818451+00,1754
79,18,"Hello support,

Computed field failing when accessing related data:

Schema:
```graphql
type user_preferences {
  id: Int!
  computed_field: JSON
  related_user_preferences: [user_preferences]
}
```

Error:
```
constraint violation when computing field
Relationship type: recursive relationship
```

How should we structure computed fields with relationships?",2024-08-10 21:37:06.060955+00,4
80,18,"Hello! Thank you for reaching out to support. I understand you're encountering issues with computed fields in your recursive relationship setup. This can often be tricky. To help you better, could you please provide more details about how you're currently structuring the computed fields? ",2024-08-10 23:55:06.060955+00,8315
81,18,"Hi, thanks for getting back to me! Currently, I am attempting to reference the `related_user_preferences` in my `computed_field`. However, I keep getting that constraint violation error. I want to ensure that I'm accessing the related data correctly. Any insights would be appreciated!",2024-08-11 02:59:06.060955+00,4
82,18,"Thank you for the clarification! The constraint violation you're experiencing typically arises when a computed field attempts to reference itself or is structured in a way that creates a circular dependency. To resolve this, consider restructuring your computed field to avoid direct recursive references. You might want to aggregate data from the related user preferences without directly nesting them. Would you like some examples on how to implement this?",2024-08-11 06:14:06.060955+00,8315
83,18,"Yes, that would be really helpful! If you could provide an example of how to structure the computed field without creating a recursive loop, I think that would solve my issue. Thank you!",2024-08-11 09:12:06.060955+00,4
84,19,"Hello,

We're seeing memory spikes during nested mutation operations:

Environment:
- Product: Hasura Cloud Enterprise
- Database: PostgreSQL 12
- Load: 100/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 5 minutes
- Error rate: Increasing with permission denied

What's the recommended resource configuration for our workload?",2024-07-09 12:47:52.112811+00,5
85,19,"Hello! Thank you for reaching out. I understand that you're experiencing memory spikes during nested mutation operations on your Hasura Cloud Enterprise setup. Given your environment details, it sounds like we need to optimize your resource configuration. I recommend considering an increase in your memory allocation and possibly scaling your database connections. Can you provide more details about your current resource allocation?",2024-07-09 15:29:52.112811+00,7955
86,19,"Hi, thanks for the quick response! Currently, we are using a standard configuration with 8GB of RAM and 4 vCPUs. We’re wondering if that’s sufficient for our load and if there are specific recommendations for the memory and CPU settings we should consider.",2024-07-09 17:51:52.112811+00,5
87,19,"Thanks for the information! For your workload of 100 operations per day, I would recommend increasing your memory to at least 16GB and considering 8 vCPUs. This should help manage the memory spikes during those nested mutations and improve overall performance. Additionally, ensure that your database indexes are optimized for the queries you're executing. Does this sound like a feasible plan for you?",2024-07-09 19:21:52.112811+00,7955
88,19,"That sounds promising! I will discuss this with my team. In the meantime, could you provide any insights on how we can optimize our nested mutation queries to reduce the memory usage further?",2024-07-09 21:55:52.112811+00,5
89,19,Absolutely! Here are a few tips to optimize your nested mutation queries: ,2024-07-09 22:31:52.112811+00,7955
90,19,"Thank you so much for the detailed suggestions! We’ll implement the changes and monitor the situation. I appreciate your help, and I will reach out again if we encounter any further issues.",2024-07-10 02:14:52.112811+00,5
91,20,"Hello,

Event trigger webhooks are timing out on GCP GKE:

Setup:
- Table: organizations
- Events: INSERT, UPDATE
- Concurrent events: 10
- Timeout: 10 seconds

Error:
```
constraint violation: webhook response timeout
Pending events: 1K/day
```

What's the best way to handle high-volume event triggers?",2024-10-03 13:28:57.799973+00,5
130,27,"Absolutely! To adjust the timeout settings, you will typically need to access your API Gateway or the service managing your remote schemas. Look for the ""Timeout"" settings under the API configuration. As for other optimizations, consider implementing caching for frequently requested data and reviewing the load distribution across your endpoints. These practices can significantly enhance performance. Let me know if you need step-by-step instructions on any specific part!",2024-10-02 12:59:58.111166+00,7774
92,20,"Hello! Thank you for reaching out regarding the webhook timeout issue on GCP GKE. It sounds like you're experiencing delays due to high-volume event triggers. To address this, I recommend increasing the timeout value for your webhooks if possible, as 10 seconds might be insufficient given the volume of events you're handling. Additionally, consider implementing a retry mechanism for failed webhooks and potentially scaling your infrastructure to handle concurrent requests more effectively. Let me know if you're open to these suggestions!",2024-10-03 16:25:57.799973+00,1454
93,20,Thank you for the quick response! I appreciate the suggestions. Increasing the timeout does sound like a good idea. I will also look into implementing a retry mechanism. How much should I increase the timeout to? And what would be a reasonable number of retries to implement?,2024-10-03 19:10:57.799973+00,5
94,20,"You're welcome! A good starting point for the timeout could be around 30 seconds, especially if you're dealing with complex operations in your webhooks. Regarding retries, I suggest setting up 2 to 3 retry attempts with exponential backoff. This way, if a webhook fails, it will have a chance to succeed in subsequent attempts without overwhelming your server. Please let me know if you need further assistance with these adjustments!",2024-10-03 21:55:57.799973+00,1454
95,20,That sounds excellent! I'll implement the 30-second timeout and the retry mechanism with exponential backoff. Thank you for your help! I'll reach out again if I encounter any further issues.,2024-10-04 01:23:57.799973+00,5
96,21,"Hi Hasura team,

Our custom webhook authentication is failing with check constraint violation. Setup:

Webhook config:
```yaml
auth:
  webhook:
    mode: POST
    url: https://our-auth-server/eu-central-1
    timeout: 60 seconds
```

Current load:
- Request volume: 10K/day
- Concurrent users: 5000

How can we debug this?",2024-07-18 08:03:29.57883+00,5
97,21,Hello! Thank you for reaching out to the Hasura support team. I understand that you're experiencing issues with your custom webhook authentication due to a check constraint violation. Let's work together to debug this. Could you please provide us with any error messages or logs you're seeing when the authentication fails? This information will help us identify the root cause.,2024-07-18 10:59:29.57883+00,7955
98,21,"Hi, thanks for the quick response! When the authentication fails, we receive a 400 Bad Request response with the message: ""Check constraint violation on auth token."" We haven’t made any changes to the webhook configuration recently. Does this help?",2024-07-18 13:11:29.57883+00,5
99,21,"Thank you for the update! The ""Check constraint violation on auth token"" message suggests that there may be an issue with the token being sent to the webhook. It could be malformed or not meeting the expected requirements. Could you please check the format of the auth token and ensure it complies with the constraints defined on your authentication server? Additionally, any logs from the auth server would be useful.",2024-07-18 13:53:29.57883+00,7955
100,21,"After reviewing the details you've provided and the behavior described, it appears that the auth token being sent lacks the necessary claims for validation. I recommend verifying the claims expected by your auth server and ensuring that the token generation process aligns with those requirements. If adjustments to the token are needed, please make those changes and test the webhook again.",2024-07-18 17:33:29.57883+00,7955
101,21,"Thanks for the guidance! I checked the token and found that it was missing a required claim. After adding the claim, the webhook authentication is now working perfectly! I appreciate your help in resolving this issue.",2024-07-18 18:28:29.57883+00,5
102,22,"Hello,

Our complex permission policy isn't working:

Policy:
```json
{
  ""role"": ""admin"",
  ""table"": ""products"",
  ""select"": {
    ""filter"": {
      ""_or"": [
        {""org_id"": ""X-Hasura-Org-Id""},
        {""public"": {""_eq"": true}},
        {""shared_with"": {""_contains"": ""X-Hasura-User-Id""}}
      ]
    }
  }
}
```

Error: invalid JWT token

How can we implement this permission structure?",2024-09-08 23:58:23.479473+00,5
103,22,"Hello! Thank you for reaching out. I understand you're having trouble with your complex permission policy on products, specifically receiving an ""invalid JWT token"" error. This issue may be related to how the JWT token is being generated or validated. Can you please confirm if the token is being created with the correct claims and that it includes both the `X-Hasura-Org-Id` and `X-Hasura-User-Id` values?",2024-09-09 03:39:23.479473+00,7955
104,22,"Hi, thanks for your quick reply! The JWT token is indeed generated with the required claims. However, I’m still encountering the same error. Could there be something wrong with the structure of the permission policy itself?",2024-09-09 07:13:23.479473+00,7955
105,22,"I appreciate the clarification. The structure of your permission policy looks generally correct, but it’s important to ensure that the token’s `org_id` and `user_id` match the values you're filtering against in your policy. Additionally, please check if the `shared_with` field in your products table is set correctly for the users. Could you also provide more details about how the token is generated?",2024-09-09 09:56:23.479473+00,7955
106,22,"Thank you for your patience! Upon reviewing the information you provided, it seems that the issue may arise if the token is not being properly validated against the claims in the policy. I recommend ensuring that the token includes valid claims for `org_id` and `user_id`, and that your Hasura instance is configured to accept these claims. Once everything is aligned, the permission policy should function as intended.",2024-09-09 12:50:23.479473+00,7955
107,22,"Thanks for the detailed guidance! I've checked everything and made the necessary adjustments. The permission policy is now working correctly, and I can access the products as expected. I really appreciate your help!",2024-09-09 15:15:23.479473+00,7955
108,23,"Hello,

We're seeing memory spikes during remote schema query operations:

Environment:
- Product: Hasura Cloud
- Database: TimescaleDB
- Load: 10M/day

Monitoring shows:
- Memory usage: >80%
- Operation time: 5 minutes
- Error rate: Increasing with check constraint violation

What's the recommended resource configuration for our workload?",2024-07-14 23:17:59.343688+00,5
109,23,"Hello! Thank you for reaching out to us regarding the memory spikes during your remote schema query operations. Given your environment with Hasura Cloud and TimescaleDB, it's important to optimize your resource configuration for efficient performance. Based on your load of 10 million operations per day and the current memory usage exceeding 80%, I recommend considering the following configurations:",2024-07-14 23:51:59.343688+00,7840
110,23,"Thank you for the quick response! I appreciate the recommendations. Increasing the instance size sounds like a good idea, and I will also look into implementing connection pooling. Can you provide some guidance on the best instance size for our workload? We want to avoid any further memory spikes.",2024-07-15 01:45:59.343688+00,5
131,27,"Once you've made these adjustments, please monitor the system for a few days to see if the timeout errors persist. If they do, don't hesitate to reach out, and we can troubleshoot further. I’ll mark this ticket as solved for now, but feel free to come back anytime!",2024-10-02 15:20:58.111166+00,7774
225,45,"Yes, that would be great! Please provide an example of how to implement the casting in the join query.",2024-06-22 20:20:02.926626+00,12
111,23,"Absolutely! For a load of 10 million operations per day, I recommend scaling up to a larger instance type, ideally one that offers at least 16 GB of RAM. This should provide sufficient headroom for handling your workload effectively while keeping memory usage in check. Additionally, ensure that your configuration settings for TimescaleDB are optimized for this instance size, particularly parameters like `work_mem` and `shared_buffers`. If you need assistance with those settings, feel free to ask!",2024-07-15 03:20:59.343688+00,7840
